答案1：  51
答案5009：  6442/89
答案5010：  170/2541
答案5011：  20
答案5012：  2275/47
答案5013：  3938/101
答案5014：  7/4
答案5015：  2/3
答案5016：  1305/37
答案5017：  1358/23
答案5018：  7826/8835
答案5019：  12/17
答案5020：  1
答案5021：  96
答案5022：  7249/73
答案5023：  48/5
答案5024：  3229/59
答案5025：  220/27
答案5026：  1/3
答案5027：  88/17
答案5028：  928/95
答案5029：  -4211/66
答案5030：  2480/71
答案5031：  24/5
答案5032：  3276
答案5033：  3/77
答案5034：  273/4
答案5035：  137
答案5036：  4591/3100
答案5037：  13/8330
答案5038：  2793/47
答案5039：  142
答案5040：  34
答案5041：  72
答案5042：  8
答案5043：  -23
答案5044：  4913/100
答案5045：  1217/1632
答案5046：  3713/54
答案5047：  -7139/92
答案5048：  3/32
答案5049：  299/8
答案5050：  1366/1443
答案5051：  238/209
答案5052：  -43
答案5053：  4029/89
答案5054：  925/12
答案5055：  1
答案5056：  2
答案5057：  5449/99
答案5058：  6427/90
答案5059：  2/11
答案5060：  -3693/82
答案5061：  3
答案5062：  -2703/50
答案5063：  814/41
答案5064：  38/9
答案5065：  32/79
答案5066：  1
答案5067：  1078/97
答案5068：  1525/2142
答案5069：  97/30
答案5070：  3682/97
答案5071：  107
答案5072：  85/82
答案5073：  13
答案5074：  5471/100
答案5075：  -1740/79
答案5076：  2343/94
答案5077：  156
答案5078：  281/352
答案5079：  -403/72
答案5080：  40
答案5081：  23/3
答案5082：  1/10201
答案5083：  40
答案5084：  3843
答案5085：  3
答案5086：  197/897
答案5087：  742/25
答案5088：  82
答案5089：  16
答案5090：  1205/21
答案5091：  778/1771
答案5092：  959/20
答案5093：  1
答案5094：  153/2
答案5095：  1470/17
答案5096：  366/1771
答案5097：  2626/1533
答案5098：  78
答案5099：  2188/97
答案5100：  238/9
答案5101：  46/17
答案5102：  2/101
答案5103：  1
答案5104：  12131/8900
答案5105：  10
答案5106：  3003/61
答案5107：  4489
答案5108：  3/35
答案5109：  414/19
答案5110：  97/25
答案5111：  2/97
答案5112：  85
答案5113：  1/71
答案5114：  -107/3
答案5115：  97/5
答案5116：  -584/1517
答案5117：  1/15
答案5118：  12
答案5119：  5205/76
答案5120：  38/17
答案5121：  1055/27
答案5122：  741
答案5123：  300/31
答案5124：  57/5
答案5125：  9013/97
答案5126：  14
答案5127：  200
答案5128：  11/168
答案5129：  1/83
答案5130：  1/19
答案5131：  -34/3
答案5132：  21
答案5133：  13/55
答案5134：  217/9
答案5135：  37/25
答案5136：  1
答案5137：  7/47
答案5138：  47/11
答案5139：  1297/16
答案5140：  78/11
答案5141：  4237/65
答案5142：  180/403
答案5143：  345/16
答案5144：  1584
答案5145：  33
答案5146：  8830/93
答案5147：  25/194
答案5148：  265/154
答案5149：  3304/67
答案5150：  32/49
答案5151：  391/371
答案5152：  5026/3239
答案5153：  473/1869
答案5154：  40/11
答案5155：  65/322
答案5156：  -6
答案5157：  6381/86
答案5158：  4621/3776
答案5159：  96
答案5160：  65/774
答案5161：  1067/29
答案5162：  380/21
答案5163：  14
答案5164：  1587/25
答案5165：  1195/89
答案5166：  2479/26
答案5167：  1/27
答案5168：  590/11
答案5169：  35
答案5170：  -234/35
答案5171：  284/265
答案5172：  19
答案5173：  1/47
答案5174：  -291/10
答案5175：  -2656/49
答案5176：  3325/2139
答案5177：  5481
答案5178：  -1571/29
答案5179：  1688/65
答案5180：  380/77
答案5181：  1/12
答案5182：  6/53
答案5183：  127
答案5184：  1
答案5185：  2688/41
答案5186：  2/7
答案5187：  336/83
答案5188：  95/4
答案5189：  1
答案5190：  55/2
答案5191：  -5713/95
答案5192：  1139/2850
答案5193：  792/2375
答案5194：  18/5
答案5195：  1092/23
答案5196：  7
答案5197：  64/3
答案5198：  -36
答案5199：  287/9
答案5200：  1500
答案5201：  594
答案5202：  423/760
答案5203：  2975/4836
答案5204：  16/77
答案5205：  1198/25
答案5206：  900
答案5207：  1794/97
答案5208：  91
答案5209：  217/3000
答案5210：  4372/47
答案5211：  50/7
答案5212：  -23
答案5213：  1/92
答案5214：  667/52
答案5215：  5093/57
答案5216：  3480/4559
答案5217：  299
答案5218：  117
答案5219：  1914/31
答案5220：  36
答案5221：  4748/3015
答案5222：  1/11
答案5223：  1566/89
答案5224：  -1483/2475
答案5225：  -12
答案5226：  158/23
答案5227：  4464/49
答案5228：  2622/47
答案5229：  2309/1513
答案5230：  173
答案5231：  97/66
答案5232：  3145/49
答案5233：  16/9
答案5234：  6609/82
答案5235：  10/3
答案5236：  11/480
答案5237：  19
答案5238：  5/19
答案5239：  21/46
答案5240：  1
答案5241：  -5732/6499
答案5242：  29
答案5243：  -44
答案5244：  1739/1010
答案5245：  975/89
答案5246：  30
答案5247：  -3289/49
答案5248：  3760/69
答案5249：  105
答案5250：  6
答案5251：  596/465
答案5252：  88/3
答案5253：  395/8
答案5254：  400/7
答案5255：  2240
答案5256：  4939/101
答案5257：  940/59
答案5258：  5947/77
答案5259：  18/7
答案5260：  575/1584
答案5261：  -393/3230
答案5262：  39/2
答案5263：  2/17
答案5264：  1157/59
答案5265：  3
答案5266：  4352/8645
答案5267：  2380/47
答案5268：  1
答案5269：  294/41
答案5270：  -32
答案5271：  592/69
答案5272：  -302/75
答案5273：  3736/5353
答案5274：  9/25
答案5275：  113
答案5276：  136/75
答案5277：  1320
答案5278：  -443/49
答案5279：  7051/4040
答案5280：  2613
答案5281：  3/10
答案5282：  -22
答案5283：  2/9
答案5284：  1919/33
答案5285：  67/3
答案5286：  12
答案5287：  1/33
答案5288：  24
答案5289：  39
答案5290：  45
答案5291：  -4474/95
答案5292：  1537/5696
答案5293：  1824
答案5294：  337/4
答案5295：  4
答案5296：  5731/73
答案5297：  612
答案5298：  67/195
答案5299：  47/10
答案5300：  5
答案5301：  1798/4005
答案5302：  1903/23
答案5303：  440/47
答案5304：  6/11
答案5305：  2160/101
答案5306：  1
答案5307：  2856
答案5308：  316/639
答案5309：  847/732
答案5310：  9/49
答案5311：  20/9
答案5312：  486/97
答案5313：  5/31
答案5314：  131/14
答案5315：  -4875/71
答案5316：  -347/5
答案5317：  378/13
答案5318：  20
答案5319：  97/3
答案5320：  9919/8080
答案5321：  1036/31
答案5322：  77
答案5323：  -1201/20
答案5324：  121
答案5325：  5/6
答案5326：  2604/95
答案5327：  25/71
答案5328：  783/91
答案5329：  105
答案5330：  48/5
答案5331：  8947/6097
答案5332：  3998/99
答案5333：  2831/47
答案5334：  1/101
答案5335：  12/7
答案5336：  189/2279
答案5337：  -1/9
答案5338：  95/3
答案5339：  -3906/47
答案5340：  558/7
答案5341：  183/25
答案5342：  92/225
答案5343：  5183
答案5344：  -43
答案5345：  599/8
答案5346：  3
答案5347：  135
答案5348：  1106/89
答案5349：  1/3
答案5350：  106
答案5351：  179/158
答案5352：  3/5
答案5353：  115/539
答案5354：  4/27
答案5355：  3478/77
答案5356：  27/7
答案5357：  -1289/44
答案5358：  379/36
答案5359：  1/97
答案5360：  -3674/91
答案5361：  13/3
答案5362：  4/13
答案5363：  1028/15
答案5364：  7064/4895
答案5365：  3872/47
答案5366：  5448/91
答案5367：  43/7
答案5368：  17
答案5369：  6264/101
答案5370：  864/3913
答案5371：  109
答案5372：  1889/24
答案5373：  9
答案5374：  105/8
答案5375：  2
答案5376：  66
答案5377：  156
答案5378：  4/57
答案5379：  99
答案5380：  90
答案5381：  4/7
答案5382：  12605/8372
答案5383：  2763/31
答案5384：  399/325
答案5385：  5/23
答案5386：  50/9
答案5387：  34/13
答案5388：  41
答案5389：  -27/350
答案5390：  10/7
答案5391：  3605/5088
答案5392：  1911/25
答案5393：  34
答案5394：  2695/58
答案5395：  8
答案5396：  24
答案5397：  27/95
答案5398：  433/35
答案5399：  1
答案5400：  31/38
答案5401：  123
答案5402：  5/49
答案5403：  2438/73
答案5404：  107
答案5405：  412/15
答案5406：  1473/43
答案5407：  1361/25
答案5408：  -8246/97
答案5409：  2482/25
答案5410：  3437/80
答案5411：  127
答案5412：  1/5
答案5413：  175
答案5414：  3/26
答案5415：  11/215
答案5416：  -1502/81
答案5417：  131/2
答案5418：  19/7
答案5419：  1892/1517
答案5420：  5148/89
答案5421：  1/24
答案5422：  371/1392
答案5423：  19/5
答案5424：  154
答案5425：  2814/55
答案5426：  43
答案5427：  5767/85
答案5428：  354/23
答案5429：  78
答案5430：  275/328
答案5431：  1217/17
答案5432：  23/22
答案5433：  3/2
答案5434：  34
答案5435：  4647/101
答案5436：  5225/2727
答案5437：  1
答案5438：  515/7
答案5439：  -48
答案5440：  11839/7979
答案5441：  6/19
答案5442：  1205/31
答案5443：  1389/1568
答案5444：  752/909
答案5445：  175/12
答案5446：  24/23
答案5447：  87
答案5448：  155
答案5449：  2090/71
答案5450：  2280
答案5451：  5948/101
答案5452：  6425/96
答案5453：  135
答案5454：  -535/1818
答案5455：  8717/7154
答案5456：  108
答案5457：  97/4650
答案5458：  511/5700
答案5459：  2
答案5460：  2/23
答案5461：  45
答案5462：  2
答案5463：  3/91
答案5464：  4412/5073
答案5465：  6/37
答案5466：  -18
答案5467：  3589/50
答案5468：  1044/11
答案5469：  2495/28
答案5470：  11
答案5471：  -382/13
答案5472：  130
答案5473：  169/630
答案5474：  108
答案5475：  22
答案5476：  1349/61
答案5477：  23/76
答案5478：  -1616/4455
答案5479：  169
答案5480：  -1
答案5481：  53/32
答案5482：  8
答案5483：  281/190
答案5484：  10
答案5485：  1311/44
答案5486：  2501/86
答案5487：  25/17
答案5488：  -1024/8787
答案5489：  598
答案5490：  -443/6
答案5491：  23
答案5492：  7/5
答案5493：  38/29
答案5494：  3977/4116
答案5495：  -36
答案5496：  27/22
答案5497：  1565/54
答案5498：  1560
答案5499：  329/66
答案5500：  -1721/46
答案5501：  252/29
答案5502：  281/156
答案5503：  31
答案5504：  1693/5110
答案5505：  625/31
答案5506：  3563/74
答案5507：  -4246/101
答案5508：  4224
答案5509：  3733/101
答案5510：  1
答案5511：  9004/7469
答案5512：  9/52
答案5513：  -3/43
答案5514：  -26
答案5515：  3479
答案5516：  4/5
答案5517：  1746/49
答案5518：  80
答案5519：  1677/46
答案5520：  9
答案5521：  16/159
答案5522：  753/44
答案5523：  -89
答案5524：  21
答案5525：  1560
答案5526：  6795/86
答案5527：  648
答案5528：  3216/49
答案5529：  14
答案5530：  1109/24
答案5531：  275/8
答案5532：  2374/27
答案5533：  2370/31
答案5534：  3713/84
答案5535：  22
答案5536：  94
答案5537：  195/19
答案5538：  85/79
答案5539：  3116/39
答案5540：  1539/25
答案5541：  121/202
答案5542：  21
答案5543：  5
答案5544：  84/11
答案5545：  560
答案5546：  396/101
答案5547：  3893/72
答案5548：  475/9
答案5549：  8613/9800
答案5550：  118/75
答案5551：  527/632
答案5552：  1/99
答案5553：  31/3
答案5554：  527/8217
答案5555：  410/297
答案5556：  -646/9
答案5557：  805/594
答案5558：  841/624
答案5559：  -377/31
答案5560：  2961/76
答案5561：  1387/1360
答案5562：  172
答案5563：  904/83
答案5564：  287/10
答案5565：  5576
答案5566：  -6182/87
答案5567：  22/9
答案5568：  375
答案5569：  2430/41
答案5570：  -658/979
答案5571：  -313/2730
答案5572：  101/13
答案5573：  2337
答案5574：  2321/25
答案5575：  129/2
答案5576：  2494
答案5577：  -4594/77
答案5578：  4007/75
答案5579：  9/50
答案5580：  43/41
答案5581：  1337/50
答案5582：  -5042/81
答案5583：  167
答案5584：  4/29
答案5585：  44/9
答案5586：  45/287
答案5587：  -1
答案5588：  4
答案5589：  1421/90
答案5590：  -2830/91
答案5591：  93
答案5592：  544/21
答案5593：  24
答案5594：  2079/86
答案5595：  674/83
答案5596：  12/5
答案5597：  26
答案5598：  101/4
答案5599：  1
答案5600：  1974/25
答案5601：  0
答案5602：  12/65
答案5603：  1
答案5604：  -2
答案5605：  1712/2619
答案5606：  8
答案5607：  267/43
答案5608：  66
答案5609：  1
答案5610：  6268/101
答案5611：  9/7
答案5612：  97/9
答案5613：  5
答案5614：  98/3
答案5615：  9697/98
答案5616：  72
答案5617：  1/5
答案5618：  740
答案5619：  6298/101
答案5620：  2/2401
答案5621：  32/11
答案5622：  1
答案5623：  1/26
答案5624：  265/96
答案5625：  48/77
答案5626：  2132/31
答案5627：  4
答案5628：  4267/97
答案5629：  3
答案5630：  1129/50
答案5631：  29/33
答案5632：  557/20
答案5633：  3335/84
答案5634：  2
答案5635：  72/5
答案5636：  -248/49
答案5637：  1144/47
答案5638：  6320/99
答案5639：  13
答案5640：  -1572/2231
答案5641：  -58
答案5642：  1491/19
答案5643：  10
答案5644：  627/23
答案5645：  1363/64
答案5646：  2141/4004
答案5647：  2438/3705
答案5648：  3588
答案5649：  -1193/26
答案5650：  2483/35
答案5651：  3984/59
答案5652：  17/9
答案5653：  2426/89
答案5654：  -3679/75
答案5655：  -8
答案5656：  3229/91
答案5657：  4484
答案5658：  6669/79
答案5659：  1445
答案5660：  4549/50
答案5661：  7145/76
答案5662：  3/16
答案5663：  7/26
答案5664：  2/93
答案5665：  490
答案5666：  235/4
答案5667：  -5947/68
答案5668：  1/81
答案5669：  155
答案5670：  836/69
答案5671：  3680
答案5672：  41/7
答案5673：  51
答案5674：  4/65
答案5675：  -1703/74
答案5676：  6120
答案5677：  16/3
答案5678：  4136/91
答案5679：  2197/93
答案5680：  74/95
答案5681：  56/5
答案5682：  71
答案5683：  -2954/8383
答案5684：  130
答案5685：  2133/2656
答案5686：  92/7
答案5687：  1/4
答案5688：  2158/2937
答案5689：  1/1089
答案5690：  2
答案5691：  164/675
答案5692：  82/13
答案5693：  -2280/43
答案5694：  -1
答案5695：  -35
答案5696：  15/77
答案5697：  39/11
答案5698：  588/31
答案5699：  1584/19
答案5700：  4/23
答案5701：  1105/33
答案5702：  143/666
答案5703：  1131/1078
答案5704：  -1427/2225
答案5705：  10
答案5706：  1/89
答案5707：  4897/88
答案5708：  616/705
答案5709：  23/17
答案5710：  1462/31
答案5711：  520/2673
答案5712：  4283/101
答案5713：  -1184/87
答案5714：  8983/6762
答案5715：  3
答案5716：  3153/88
答案5717：  24/101
答案5718：  30
答案5719：  1
答案5720：  33
答案5721：  4/87
答案5722：  1035/1666
答案5723：  15/7
答案5724：  9016/9801
答案5725：  -42
答案5726：  4526
答案5727：  2/91
答案5728：  1315/57
答案5729：  2
答案5730：  9785/98
答案5731：  2949/61
答案5732：  44/23
答案5733：  3
答案5734：  2503/4819
答案5735：  1/97
答案5736：  2065/32
答案5737：  1264/43
答案5738：  -127/79
答案5739：  1/12
答案5740：  3/13
答案5741：  170
答案5742：  3599/48
答案5743：  91/2
答案5744：  264/553
答案5745：  -528/35
答案5746：  95
答案5747：  36
答案5748：  3948
答案5749：  5/47
答案5750：  3736/43
答案5751：  578/23
答案5752：  1900
答案5753：  46/9
答案5754：  11/6
答案5755：  1
答案5756：  135
答案5757：  260/473
答案5758：  4625/48
答案5759：  7125/8428
答案5760：  3182/49
答案5761：  136/3139
答案5762：  46
答案5763：  1
答案5764：  260/31
答案5765：  779/79
答案5766：  -119/240
答案5767：  4717/7300
答案5768：  47/203
答案5769：  1
答案5770：  2777/36
答案5771：  200/7
答案5772：  61/82
答案5773：  1959/56
答案5774：  86
答案5775：  44/13
答案5776：  782
答案5777：  -15
答案5778：  1/20
答案5779：  9/73
答案5780：  1/71
答案5781：  6
答案5782：  18/5
答案5783：  966/41
答案5784：  3/7
答案5785：  10
答案5786：  2
答案5787：  128/2619
答案5788：  2847/77
答案5789：  36
答案5790：  38
答案5791：  -47/6
答案5792：  7/4
答案5793：  2627/93
答案5794：  6761/94
答案5795：  11
答案5796：  45
答案5797：  39
答案5798：  -61
答案5799：  142
答案5800：  1199/48
答案5801：  38
答案5802：  -32
答案5803：  24/101
答案5804：  9900/101
答案5805：  27
答案5806：  372/25
答案5807：  4165
答案5808：  119/15
答案5809：  1886/95
答案5810：  2808
答案5811：  391/348
答案5812：  11
答案5813：  98/495
答案5814：  587/100
答案5815：  -7501/96
答案5816：  28/9
答案5817：  -75
答案5818：  110/39
答案5819：  -71/198
答案5820：  3279/41
答案5821：  4001/6715
答案5822：  116
答案5823：  -77/8
答案5824：  1508
答案5825：  36/11
答案5826：  255/16
答案5827：  2766/5963
答案5828：  337/570
答案5829：  197/185
答案5830：  76/5
答案5831：  671/14
答案5832：  25/9
答案5833：  -1095/1616
答案5834：  3096/91
答案5835：  235/194
答案5836：  17/2
答案5837：  1
答案5838：  24
答案5839：  3871/4350
答案5840：  859/2379
答案5841：  3167/8989
答案5842：  72
答案5843：  23/17
答案5844：  1
答案5845：  2553/49
答案5846：  1856/1001
答案5847：  -1607/26
答案5848：  -6079/98
答案5849：  147/46
答案5850：  35/17
答案5851：  -1269/5372
答案5852：  25/884
答案5853：  1909/2940
答案5854：  4832/83
答案5855：  2418/101
答案5856：  14
答案5857：  3456/67
答案5858：  15
答案5859：  1319/2982
答案5860：  3
答案5861：  5376/97
答案5862：  1360/89
答案5863：  6/95
答案5864：  1/4
答案5865：  7/2
答案5866：  3/13
答案5867：  1/95
答案5868：  720/19
答案5869：  43/19
答案5870：  31/756
答案5871：  114
答案5872：  8550
答案5873：  96/37
答案5874：  -2263/3030
答案5875：  105
答案5876：  -962/11
答案5877：  2288/85
答案5878：  3977/4550
答案5879：  2032/31
答案5880：  44/3
答案5881：  -125/651
答案5882：  1
答案5883：  7/33
答案5884：  36
答案5885：  16071/8989
答案5886：  257/385
答案5887：  -1414/75
答案5888：  317/540
答案5889：  559/23
答案5890：  2/7
答案5891：  32/3
答案5892：  20
答案5893：  364/485
答案5894：  819/10
答案5895：  4938/49
答案5896：  -31/4214
答案5897：  3645/46
答案5898：  4695/76
答案5899：  16/111
答案5900：  8054/87
答案5901：  133
答案5902：  6039/86
答案5903：  783/46
答案5904：  3/100
答案5905：  73/400
答案5906：  -56
答案5907：  507/1460
答案5908：  2384/1365
答案5909：  8352/101
答案5910：  -51
答案5911：  1
答案5912：  92/1045
答案5913：  337/5
答案5914：  -893/9
答案5915：  161
答案5916：  414/13
答案5917：  3/200
答案5918：  151
答案5919：  91/9
答案5920：  754/475
答案5921：  44/3
答案5922：  3327/79
答案5923：  1589/2886
答案5924：  105
答案5925：  649/94
答案5926：  37/3
答案5927：  1117/744
答案5928：  161
答案5929：  230/33
答案5930：  11/9
答案5931：  100
答案5932：  6/7
答案5933：  1/50
答案5934：  1
答案5935：  57/460
答案5936：  953/15
答案5937：  1141/1760
答案5938：  2/43
答案5939：  26
答案5940：  5939/4040
答案5941：  3303/86
答案5942：  126
答案5943：  4076/53
答案5944：  -4
答案5945：  1189/25
答案5946：  1997/84
答案5947：  883/623
答案5948：  3
答案5949：  -2681/74
答案5950：  13/11
答案5951：  63/10
答案5952：  94/21
答案5953：  6/11
答案5954：  7917/9595
答案5955：  1/4
答案5956：  33/2
答案5957：  -235/2144
答案5958：  125
答案5959：  4/9
答案5960：  42/89
答案5961：  82
答案5962：  5
答案5963：  8
答案5964：  29/4
答案5965：  5
答案5966：  -13
答案5967：  2601/5624
答案5968：  968/29
答案5969：  9/8
答案5970：  1/60
答案5971：  -323/18
答案5972：  1/3
答案5973：  344
答案5974：  100/847
答案5975：  95/27
答案5976：  5
答案5977：  3/71
答案5978：  8
答案5979：  1001/20
答案5980：  -56
答案5981：  325/24
答案5982：  16/7
答案5983：  2774/49
答案5984：  -508/4371
答案5985：  3/4
答案5986：  1/45
答案5987：  -58
答案5988：  3/47
答案5989：  221/67
答案5990：  3063/44
答案5991：  977/3220
答案5992：  4895/2806
答案5993：  742/4565
答案5994：  881/707
答案5995：  2162/33
答案5996：  265/204
答案5997：  2643/85
答案5998：  1655/58
答案5999：  8/165
答案6000：  432/49
答案6001：  356/19
答案6002：  3619
答案6003：  31
答案6004：  -29/101
答案6005：  364/11
答案6006：  1767/3182
答案6007：  3/62
答案6008：  1647/62
答案6009：  273/31
答案6010：  700
答案6011：  1160/47
答案6012：  43/64
答案6013：  32
答案6014：  317/510
答案6015：  95
答案6016：  960/23
答案6017：  46
答案6018：  1265/3007
答案6019：  -1319/52
答案6020：  104/89
答案6021：  282/217
答案6022：  5541/76
答案6023：  -469/101
答案6024：  7179/98
答案6025：  284
答案6026：  57/4
答案6027：  5336/99
答案6028：  -7601/100
答案6029：  1/39
答案6030：  273/506
答案6031：  9/497
答案6032：  61/14
答案6033：  2619/100
答案6034：  1196
答案6035：  632/2565
答案6036：  6676/4343
答案6037：  11
答案6038：  2295/32
答案6039：  2/3
答案6040：  6211/87
答案6041：  4421/3432
答案6042：  130
答案6043：  7
答案6044：  3
答案6045：  1
答案6046：  74
答案6047：  1/23
答案6048：  28
答案6049：  -22
答案6050：  51/1480
答案6051：  2487/100
答案6052：  -11
答案6053：  7203/82
答案6054：  2310/101
答案6055：  3839/50
答案6056：  57
答案6057：  1
答案6058：  -107/188
答案6059：  -61
答案6060：  6400/101
答案6061：  -693/10
答案6062：  1
答案6063：  9/22
答案6064：  -6
答案6065：  1164/1501
答案6066：  1939/50
答案6067：  -1617/101
答案6068：  17
答案6069：  3100/53
答案6070：  1
答案6071：  -1510/23
答案6072：  -87
答案6073：  1/38
答案6074：  143
答案6075：  3
答案6076：  -697/77
答案6077：  2618/2301
答案6078：  67
答案6079：  1
答案6080：  92
答案6081：  -1828/29
答案6082：  39/5
答案6083：  2448
答案6084：  365/11
答案6085：  4464
答案6086：  4862/71
答案6087：  2700/97
答案6088：  677/48
答案6089：  26/5
答案6090：  -4009/61
答案6091：  -1597/92
答案6092：  5597/100
答案6093：  2059/72
答案6094：  594
答案6095：  1
答案6096：  15/6262
答案6097：  863/475
答案6098：  863/32
答案6099：  -4
答案6100：  -103/11
答案6101：  1/95
答案6102：  -17
答案6103：  472/17
答案6104：  46/13
答案6105：  48
答案6106：  5/91
答案6107：  5/6
答案6108：  45
答案6109：  1756/21
答案6110：  2081/32
答案6111：  1633/50
答案6112：  5231/4700
答案6113：  1312/1575
答案6114：  12/11
答案6115：  2749/50
答案6116：  1690/43
答案6117：  127
答案6118：  1850/77
答案6119：  4/101
答案6120：  83/3
答案6121：  5654/83
答案6122：  10
答案6123：  5049/101
答案6124：  14/15
答案6125：  1679/1845
答案6126：  1
答案6127：  2450/31
答案6128：  2/33
答案6129：  26/3
答案6130：  857/87
答案6131：  664/97
答案6132：  2644/93
答案6133：  -6069/82
答案6134：  4814/89
答案6135：  301/81
答案6136：  66
答案6137：  -2032/21
答案6138：  1
答案6139：  3712/61
答案6140：  4383/59
答案6141：  12
答案6142：  273/4048
答案6143：  83/1111
答案6144：  -1678/21
答案6145：  615/8
答案6146：  494/11
答案6147：  1547/45
答案6148：  1720/91
答案6149：  1340/1403
答案6150：  8/7
答案6151：  13
答案6152：  16/9
答案6153：  85/2
答案6154：  -5445/101
答案6155：  14/117
答案6156：  23/10
答案6157：  90
答案6158：  1303/819
答案6159：  2295/92
答案6160：  17
答案6161：  121
答案6162：  26
答案6163：  47/49
答案6164：  6570
答案6165：  2090/43
答案6166：  -1/30
答案6167：  -315/667
答案6168：  -60
答案6169：  86/175
答案6170：  3/2
答案6171：  27
答案6172：  1956/2093
答案6173：  4159/57
答案6174：  1650
答案6175：  4026/43
答案6176：  5
答案6177：  75/7
答案6178：  19/40
答案6179：  7553
答案6180：  -799/4410
答案6181：  -131/7171
答案6182：  3339/71
答案6183：  -203/335
答案6184：  2501/38
答案6185：  85/9
答案6186：  27/2
答案6187：  1513/32
答案6188：  6
答案6189：  81
答案6190：  9143/94
答案6191：  224/3
答案6192：  5143/100
答案6193：  2279/24
答案6194：  1687/2581
答案6195：  1673/2068
答案6196：  2593/51
答案6197：  8
答案6198：  47/31
答案6199：  50
答案6200：  189
答案6201：  52/3
答案6202：  558/37
答案6203：  80
答案6204：  71
答案6205：  6142/85
答案6206：  9
答案6207：  -841/32
答案6208：  4569/89
答案6209：  -42
答案6210：  6786/89
答案6211：  46/55
答案6212：  2049/1820
答案6213：  9
答案6214：  1/16
答案6215：  4048/47
答案6216：  14/15
答案6217：  1037/2436
答案6218：  103
答案6219：  5793/4136
答案6220：  4
答案6221：  -3241/68
答案6222：  31
答案6223：  1296/47
答案6224：  49/5
答案6225：  6
答案6226：  6775/88
答案6227：  4
答案6228：  1609/65
答案6229：  51/8
答案6230：  10/7
答案6231：  1035/49
答案6232：  3788/9999
答案6233：  19/3
答案6234：  4235/97
答案6235：  330/53
答案6236：  781/9
答案6237：  -7708/81
答案6238：  13/35
答案6239：  1386/17
答案6240：  65
答案6241：  66/7
答案6242：  7200/101
答案6243：  1
答案6244：  160/7
答案6245：  168/13
答案6246：  6800/101
答案6247：  3080
答案6248：  -1853/5590
答案6249：  17
答案6250：  1
答案6251：  -6
答案6252：  1/21
答案6253：  -50
答案6254：  440/13
答案6255：  4/23
答案6256：  284/1691
答案6257：  336
答案6258：  24/7
答案6259：  113/90
答案6260：  144
答案6261：  1/12
答案6262：  -203/240
答案6263：  161
答案6264：  1
答案6265：  5018/75
答案6266：  3041/95
答案6267：  19/2256
答案6268：  29/70
答案6269：  -45/629
答案6270：  118/159
答案6271：  39/20
答案6272：  47
答案6273：  32
答案6274：  479/504
答案6275：  11/2
答案6276：  5011/84
答案6277：  6766/101
答案6278：  13/2
答案6279：  1065/92
答案6280：  1793/91
答案6281：  444/7
答案6282：  3019/1968
答案6283：  -2783/59
答案6284：  137
答案6285：  188/297
答案6286：  3542/9797
答案6287：  41
答案6288：  -1937/25
答案6289：  28/59
答案6290：  2904
答案6291：  4406/47
答案6292：  -12
答案6293：  1196/47
答案6294：  53/147
答案6295：  33
答案6296：  1600
答案6297：  2713/80
答案6298：  2000/3333
答案6299：  1/45
答案6300：  4
答案6301：  10198/101
答案6302：  86/11
答案6303：  616/3977
答案6304：  13/5
答案6305：  252/19
答案6306：  1
答案6307：  702/37
答案6308：  -79/728
答案6309：  7188/95
答案6310：  112/17
答案6311：  543/17
答案6312：  72
答案6313：  656/9
答案6314：  1
答案6315：  1249/54
答案6316：  3
答案6317：  -2305/28
答案6318：  172
答案6319：  1886
答案6320：  456/47
答案6321：  72
答案6322：  47/5
答案6323：  4011/101
答案6324：  984/47
答案6325：  20
答案6326：  14/65
答案6327：  3145/49
答案6328：  703/10
答案6329：  59
答案6330：  3049/91
答案6331：  949
答案6332：  3395/36
答案6333：  473/1519
答案6334：  669/14
答案6335：  190/97
答案6336：  -2954/41
答案6337：  -5167/54
答案6338：  2449/42
答案6339：  -38
答案6340：  871/47
答案6341：  616
答案6342：  -3451/101
答案6343：  207/44
答案6344：  26
答案6345：  9137/4958
答案6346：  34/43
答案6347：  1079/42
答案6348：  -50
答案6349：  7622/99
答案6350：  1/2
答案6351：  6857/87
答案6352：  1349/5888
答案6353：  39/88
答案6354：  6
答案6355：  -394/27
答案6356：  -32
答案6357：  6859/74
答案6358：  767/73
答案6359：  73/2828
答案6360：  442/73
答案6361：  8/13
答案6362：  9401/100
答案6363：  9997/101
答案6364：  319/15
答案6365：  121/171
答案6366：  896/47
答案6367：  215/4
答案6368：  8128/83
答案6369：  5003/3036
答案6370：  108/11
答案6371：  323/25
答案6372：  -9
答案6373：  7092/71
答案6374：  2609/70
答案6375：  25
答案6376：  1/169
答案6377：  499/606
答案6378：  3815/67
答案6379：  -5662/93
答案6380：  2623/91
答案6381：  620
答案6382：  10/9
答案6383：  -51/434
答案6384：  36/13
答案6385：  1065/29
答案6386：  64
答案6387：  26
答案6388：  68/15
答案6389：  8588/97
答案6390：  4113/5015
答案6391：  5156/85
答案6392：  -9018/101
答案6393：  3/2
答案6394：  5/67
答案6395：  -5/101
答案6396：  -44
答案6397：  28/9
答案6398：  3201/37
答案6399：  34/3
答案6400：  377/37
答案6401：  1
答案6402：  141/14
答案6403：  88
答案6404：  192
答案6405：  697/9
答案6406：  2774/91
答案6407：  5244
