题目1：  29 + 85
题目5447：  91/94 × 47
题目5448：  7 ÷ 7/10
题目5449：  58 ÷ 1
题目5450：  45 - 91/94
题目5451：  89 ÷ 1/4
题目5452：  22 × 41
题目5453：  48 ÷ 6
题目5454：  80 ÷ 8
题目5455：  85 ÷ 1/9
题目5456：  80 - 1/76
题目5457：  35 + 68
题目5458：  56 ÷ 56
题目5459：  95/99 + 10
题目5460：  17/75 + 65/72
题目5461：  72 × 99
题目5462：  1/49 - 43/45
题目5463：  65 - 19/91
题目5464：  40 - 3/25
题目5465：  93/100 + 15
题目5466：  95 - 99
题目5467：  65 + 98
题目5468：  5/76 + 52/99
题目5469：  5/29 + 39
题目5470：  25/51 + 20/23
题目5471：  5/89 + 63/74
题目5472：  47/49 - 31/83
题目5473：  42 + 77
题目5474：  41 ÷ 41/47
题目5475：  45 - 5/86
题目5476：  47/76 - 41/50
题目5477：  97/101 - 81
题目5478：  15/28 + 11
题目5479：  23/43 × 80
题目5480：  45 ÷ 3/50
题目5481：  50/67 + 23
题目5482：  55 ÷ 1/18
题目5483：  31/63 - 10/21
题目5484：  53 - 99
题目5485：  5 ÷ 1/26
题目5486：  45 ÷ 9
题目5487：  38/43 - 59/61
题目5488：  57/91 × 7
题目5489：  28/33 × 12
题目5490：  30 ÷ 6/17
题目5491：  72/79 × 18
题目5492：  31/32 - 96
题目5493：  81 - 5/17
题目5494：  30 - 25
题目5495：  37/38 + 47
题目5496：  42 × 59
题目5497：  50 ÷ 5/8
题目5498：  52 ÷ 26
题目5499：  32/35 × 36
题目5500：  13 - 54/77
题目5501：  47 ÷ 1/65
题目5502：  50 + 72
题目5503：  51/55 - 64
题目5504：  53/95 + 94/95
题目5505：  3 × 13
题目5506：  71 × 90
题目5507：  18 × 70
题目5508：  55/82 × 68
题目5509：  29 - 60/67
题目5510：  9 + 73
题目5511：  3/5 + 83/91
题目5512：  26 × 77
题目5513：  65/99 + 81/91
题目5514：  4/7 + 61
题目5515：  77 ÷ 7/47
题目5516：  3 - 2/3
题目5517：  25 + 51
题目5518：  40 ÷ 2/5
题目5519：  47/64 - 15/19
题目5520：  8/29 - 6/13
题目5521：  13/50 + 100
题目5522：  4/41 × 13/29
题目5523：  9 ÷ 1
题目5524：  3/4 × 12
题目5525：  47/63 + 63
题目5526：  1/5 × 11/16
题目5527：  25/33 × 59
题目5528：  3/25 + 42
题目5529：  19/94 + 24/43
题目5530：  8/41 × 12/13
题目5531：  63/101 - 74/75
题目5532：  47 + 95
题目5533：  34 ÷ 17/100
题目5534：  70 - 10
题目5535：  3/83 - 13/90
题目5536：  11/20 + 92/101
题目5537：  7/67 - 14/17
题目5538：  14 ÷ 14
题目5539：  76/97 × 3
题目5540：  53 - 4/25
题目5541：  24 ÷ 4/5
题目5542：  68 + 87
题目5543：  62 × 94
题目5544：  88/95 - 23/25
题目5545：  37/46 - 53
题目5546：  13/51 × 25/92
题目5547：  3/5 × 11
题目5548：  43 ÷ 1/2
题目5549：  43/88 - 3
题目5550：  31 × 51
题目5551：  20/21 - 89/98
题目5552：  27 ÷ 1
题目5553：  1/10 + 46
题目5554：  79/86 + 29
题目5555：  11/17 + 70
题目5556：  11 × 85
题目5557：  2/5 - 6
题目5558：  50 - 84
题目5559：  35/52 + 83/91
题目5560：  59/82 - 7
题目5561：  67 + 77
题目5562：  100 ÷ 1/55
题目5563：  27 × 79
题目5564：  20 - 17/18
题目5565：  23/25 ÷ 23/25
题目5566：  39 - 4
题目5567：  2/43 × 41
题目5568：  14/45 × 26
题目5569：  34 + 94
题目5570：  38 ÷ 19/43
题目5571：  87 × 91
题目5572：  4/15 + 81
题目5573：  33 + 56
题目5574：  85/97 × 12/13
题目5575：  1/56 × 6
题目5576：  4 × 84
题目5577：  44/49 - 8
题目5578：  3/5 + 51/82
题目5579：  13 × 60
题目5580：  1/3 + 92
题目5581：  40/41 + 26
题目5582：  46 ÷ 2/99
题目5583：  4/9 × 72
题目5584：  92/93 - 51/91
题目5585：  9 - 89
题目5586：  2 - 4/85
题目5587：  71/83 - 65
题目5588：  83/89 × 3
题目5589：  18 - 65/77
题目5590：  27/89 - 93/100
题目5591：  56/97 - 64/101
题目5592：  55 ÷ 5/19
题目5593：  22/25 × 99
题目5594：  68 - 43/95
题目5595：  13/100 + 43/45
题目5596：  76 + 85
题目5597：  24/79 × 42/83
题目5598：  19 × 82
题目5599：  9/40 × 95/98
题目5600：  81/89 × 76/81
题目5601：  41 × 71
题目5602：  47/100 + 62
题目5603：  26/59 - 54/95
题目5604：  86/89 + 31
题目5605：  64/67 × 72
题目5606：  86/87 × 91
题目5607：  36/49 - 11/16
题目5608：  26 ÷ 2/35
题目5609：  100 ÷ 25
题目5610：  39 × 42
题目5611：  24/49 + 29/50
题目5612：  56 ÷ 7/8
题目5613：  11/32 × 99
题目5614：  63 ÷ 1/83
题目5615：  80 ÷ 10
题目5616：  18/31 × 58
题目5617：  13/75 + 43
题目5618：  8/13 + 40/59
题目5619：  47 - 92/93
题目5620：  32/41 + 41
题目5621：  6/19 × 44/49
题目5622：  79/91 - 16/47
题目5623：  23/65 × 61/96
题目5624：  6/35 + 73/98
题目5625：  85/89 × 89
题目5626：  54 ÷ 9
题目5627：  69 × 86
题目5628：  13 × 88
题目5629：  45 ÷ 3/32
题目5630：  2 - 100/101
题目5631：  15/49 + 25
题目5632：  48 ÷ 8/9
题目5633：  93 ÷ 1/5
题目5634：  44/71 × 11
题目5635：  89/90 × 28
题目5636：  26 ÷ 1/21
题目5637：  20 + 69
题目5638：  2 + 96
题目5639：  2/85 + 57
题目5640：  89/91 - 94
题目5641：  54 × 74
题目5642：  59/76 + 41/49
题目5643：  70 + 74
题目5644：  41/48 + 63
题目5645：  26/29 + 57
题目5646：  77 ÷ 1/95
题目5647：  34 - 47/50
题目5648：  39/68 × 73/79
题目5649：  19 + 30
题目5650：  42 - 34/97
题目5651：  48 ÷ 12/35
题目5652：  23/98 + 81/86
题目5653：  69 + 99
题目5654：  32 + 75
题目5655：  11 - 63/101
题目5656：  3 - 12
题目5657：  10/11 + 3
题目5658：  22 - 99
题目5659：  27/32 + 10/11
题目5660：  6/35 - 69
题目5661：  68 ÷ 4/41
题目5662：  60/73 × 1
题目5663：  5 × 85
题目5664：  1/66 + 81/92
题目5665：  32 ÷ 16/33
题目5666：  17/23 × 76/91
题目5667：  50 - 82
题目5668：  67 - 16/23
题目5669：  6/7 × 10/11
题目5670：  87 ÷ 29/30
题目5671：  85 - 65/74
题目5672：  97 ÷ 1/66
题目5673：  7/9 + 20
题目5674：  86 - 23/83
题目5675：  59/63 + 100/101
题目5676：  15 - 49/74
题目5677：  18/71 + 9/11
题目5678：  1/39 + 57
题目5679：  99 - 47/101
题目5680：  47 × 67
题目5681：  90 × 92
题目5682：  18/79 + 21/31
题目5683：  3/19 × 82
题目5684：  99/100 + 41
题目5685：  2/13 × 49/88
题目5686：  34/45 × 52
题目5687：  5/87 × 38
题目5688：  27 ÷ 9/73
题目5689：  15/26 + 31
题目5690：  68/93 - 100/101
题目5691：  50 - 20/87
题目5692：  59/76 × 93/94
题目5693：  90 ÷ 5/64
题目5694：  1/3 × 18
题目5695：  4/7 + 76
题目5696：  80 ÷ 20
题目5697：  10/11 - 56
题目5698：  29 ÷ 1/3
题目5699：  70/87 + 25/29
题目5700：  13 ÷ 13/14
题目5701：  16/31 × 27/32
题目5702：  27 ÷ 27
题目5703：  36/77 + 74
题目5704：  4/5 - 83
题目5705：  10 - 37/47
题目5706：  86/101 - 4
题目5707：  31/35 + 59
题目5708：  8 × 88
题目5709：  17/29 × 25/32
题目5710：  51 - 85
题目5711：  35 ÷ 5
题目5712：  72 ÷ 9/16
题目5713：  93/94 + 51
题目5714：  26 × 59
题目5715：  56/69 × 99
题目5716：  39 + 95
题目5717：  65 ÷ 65/93
题目5718：  19 - 28/65
题目5719：  81/100 - 59
题目5720：  41/73 × 84
题目5721：  70 ÷ 1/28
题目5722：  7/17 - 15
题目5723：  25 × 72
题目5724：  49/86 - 54
题目5725：  55 ÷ 5/11
题目5726：  12 - 19/58
题目5727：  6/11 × 59/65
题目5728：  99 ÷ 3/13
题目5729：  25 × 92
题目5730：  20/73 - 1/7
题目5731：  71/91 + 77/86
题目5732：  74 + 82
题目5733：  49 + 49
题目5734：  35 × 39
题目5735：  2/11 × 81
题目5736：  5/21 × 67/92
题目5737：  73/92 × 63
题目5738：  9/37 × 4/7
题目5739：  37/62 + 5
题目5740：  43/99 + 22
题目5741：  91/100 × 26
题目5742：  75 ÷ 3/11
题目5743：  20 - 70/89
题目5744：  45 ÷ 5/6
题目5745：  96 ÷ 3/38
题目5746：  68 - 93/95
题目5747：  45 + 66
题目5748：  13 ÷ 13/99
题目5749：  59 × 87
题目5750：  81 ÷ 9/14
题目5751：  2 × 57
题目5752：  24 ÷ 8
题目5753：  20/27 × 66
题目5754：  39 - 68
题目5755：  39 ÷ 1/14
题目5756：  86 ÷ 43/49
题目5757：  58/95 + 99
题目5758：  5/18 - 46/87
题目5759：  64/93 - 76/81
题目5760：  42 ÷ 1/48
题目5761：  45 + 47
题目5762：  28/31 - 15/28
题目5763：  72 ÷ 72/83
题目5764：  12/65 + 91
题目5765：  49 ÷ 1/43
题目5766：  16 ÷ 4/15
题目5767：  86/87 - 97
题目5768：  5/9 - 11/13
题目5769：  39/94 × 6/11
题目5770：  12/13 + 19
题目5771：  77 - 53/59
题目5772：  26/59 + 58
题目5773：  2 × 52
题目5774：  6 ÷ 1/3
题目5775：  7/13 + 66
题目5776：  63/73 + 26
题目5777：  5/83 - 53/91
题目5778：  29/51 + 50
题目5779：  45/47 × 33
题目5780：  51 + 76
题目5781：  49/50 + 94
题目5782：  1/18 × 73
题目5783：  20 ÷ 4/7
题目5784：  24 × 53
题目5785：  98 ÷ 7
题目5786：  19/35 × 15/19
题目5787：  76/87 + 76/83
题目5788：  65/84 × 15
题目5789：  12 - 20
题目5790：  88/101 + 11
题目5791：  25/68 + 80
题目5792：  72 + 76
题目5793：  96 ÷ 3/8
题目5794：  55 + 66
题目5795：  42/47 × 26
题目5796：  77 ÷ 7/97
题目5797：  71/101 - 43
题目5798：  19 - 5/6
题目5799：  78 - 61/73
题目5800：  77/85 × 5
题目5801：  10 + 87
题目5802：  45 + 52
题目5803：  55 + 67
题目5804：  25/99 - 31/45
题目5805：  13 ÷ 13/25
题目5806：  23/53 - 22
题目5807：  77/89 + 70
题目5808：  32 + 55
题目5809：  94 - 9/11
题目5810：  31 + 94
题目5811：  95 - 89/97
题目5812：  64 ÷ 1/48
题目5813：  31/83 × 15/26
题目5814：  65/86 + 64
题目5815：  60 × 85
题目5816：  9/23 - 3
题目5817：  4/21 + 8
题目5818：  5 + 50
题目5819：  22/25 - 50/59
题目5820：  57/68 + 76/89
题目5821：  81/94 + 33
题目5822：  97 - 59/67
题目5823：  19 - 78
题目5824：  97/98 + 21
题目5825：  99/101 + 19
题目5826：  4/7 + 28/29
题目5827：  52 ÷ 13/18
题目5828：  55/93 - 42
题目5829：  84 - 26/27
题目5830：  38/43 ÷ 19/43
题目5831：  62/67 × 1
题目5832：  54 ÷ 1/12
题目5833：  27 + 51
题目5834：  18/19 + 1
题目5835：  76 ÷ 1/6
题目5836：  3/17 × 77
题目5837：  42 ÷ 6
题目5838：  11/79 × 16/35
题目5839：  1/13 × 72
题目5840：  39 ÷ 13/17
题目5841：  55/56 - 88/97
题目5842：  35 - 38
题目5843：  76 ÷ 19/40
题目5844：  8/27 - 13/45
题目5845：  32 ÷ 8
题目5846：  61/89 - 75
题目5847：  15/49 × 63/95
题目5848：  54/73 - 42
题目5849：  2/23 × 50
题目5850：  15/22 + 34
题目5851：  76/99 × 22
题目5852：  86 - 9/22
题目5853：  99 ÷ 99/101
题目5854：  72 ÷ 9/64
题目5855：  15 - 21
题目5856：  3 ÷ 1/6
题目5857：  75 - 74/85
题目5858：  9 + 33
题目5859：  43/46 + 8
题目5860：  43/50 × 12
题目5861：  37/65 × 27/29
题目5862：  47/83 + 57/94
题目5863：  80 ÷ 4
题目5864：  54 ÷ 2/33
题目5865：  22 ÷ 2/7
题目5866：  57 - 85
题目5867：  22/27 × 47
题目5868：  37/43 × 15
题目5869：  69 + 100
题目5870：  80 ÷ 8/9
题目5871：  63 ÷ 3/8
题目5872：  7/88 + 31
题目5873：  5/93 × 73
题目5874：  34 ÷ 1/74
题目5875：  73/74 × 72
题目5876：  32/35 + 32
题目5877：  29 ÷ 1
题目5878：  80/91 - 6/29
题目5879：  64 - 67
题目5880：  96 ÷ 24/97
题目5881：  54 ÷ 18
题目5882：  83 - 47
题目5883：  70 ÷ 1/4
题目5884：  5/6 - 4/7
题目5885：  51/61 + 82
题目5886：  93/101 + 19
题目5887：  100 - 12
题目5888：  83 + 92
题目5889：  57 ÷ 3/5
题目5890：  53 - 41
题目5891：  100 - 63
题目5892：  20 ÷ 4/59
题目5893：  29 ÷ 1/12
题目5894：  66 - 59/97
题目5895：  16/75 × 95
题目5896：  18 - 89/99
题目5897：  21/100 + 39
题目5898：  88 - 10
题目5899：  20 ÷ 1/3
题目5900：  31/32 × 37
题目5901：  22 ÷ 2/9
题目5902：  12/73 + 20/53
题目5903：  4/91 + 71/97
题目5904：  54 ÷ 1/17
题目5905：  3/5 × 38/49
题目5906：  76/77 - 8/17
题目5907：  3/101 + 93
题目5908：  56 ÷ 8/27
题目5909：  81 ÷ 9/46
题目5910：  65/87 + 98
题目5911：  28 - 8
题目5912：  22 - 49
题目5913：  12/13 + 33/34
题目5914：  2/19 + 75
题目5915：  56 + 59
题目5916：  90 - 37/41
题目5917：  14/71 + 82
题目5918：  5 ÷ 5/7
题目5919：  29/42 × 3/4
题目5920：  63 ÷ 1/19
题目5921：  6 - 87/88
题目5922：  72 ÷ 6/95
题目5923：  3/65 × 17
题目5924：  33/38 + 13
题目5925：  12/19 × 54
题目5926：  8/59 × 1/3
题目5927：  73/93 + 99
题目5928：  56 ÷ 2
题目5929：  7/74 × 82
题目5930：  40 × 76
题目5931：  36 + 49
题目5932：  49 - 85
题目5933：  1/3 × 93/98
题目5934：  3/8 + 43/46
题目5935：  52/77 × 87/91
题目5936：  81/83 × 25
题目5937：  59/73 + 8/9
题目5938：  28 + 34
题目5939：  74/77 + 1
题目5940：  2/5 - 34
题目5941：  65 ÷ 5/11
题目5942：  8/21 + 64/99
题目5943：  56/95 + 3/4
题目5944：  42 + 95
题目5945：  13/34 × 71/93
题目5946：  85/93 × 5
题目5947：  74 - 9
题目5948：  73/86 + 25
题目5949：  19/52 + 19/29
题目5950：  71/98 - 89/97
题目5951：  74 ÷ 1/2
题目5952：  16/21 × 20
题目5953：  63 ÷ 1/39
题目5954：  98 ÷ 49
题目5955：  28 - 90
题目5956：  13/14 - 10/37
题目5957：  11 + 42
题目5958：  1/51 - 18/37
题目5959：  55 ÷ 11/23
题目5960：  30 × 67
题目5961：  30 ÷ 6/7
题目5962：  40/47 + 88/101
题目5963：  5/8 + 4
题目5964：  18/25 + 86/89
题目5965：  92/97 - 53/89
题目5966：  85 ÷ 1/24
题目5967：  80 ÷ 40
题目5968：  61 ÷ 1/7
题目5969：  76 - 16/29
题目5970：  37/99 - 13/24
题目5971：  21 ÷ 1/20
题目5972：  93 ÷ 1/6
题目5973：  29/68 - 50/61
题目5974：  95/101 - 1/2
题目5975：  37 ÷ 1/25
题目5976：  93 ÷ 1/46
题目5977：  45/56 + 23
题目5978：  31/48 × 89
题目5979：  92/101 × 54
题目5980：  15/71 + 13
题目5981：  21 - 32
题目5982：  8 - 84
题目5983：  32/33 × 22
题目5984：  32 × 67
题目5985：  63 ÷ 9/44
题目5986：  31/101 + 31/43
题目5987：  29 + 47
题目5988：  34/37 × 22
题目5989：  61 - 5
题目5990：  44 - 95
题目5991：  91/97 - 95
题目5992：  23/28 + 88/91
题目5993：  29/33 × 93
题目5994：  1/6 - 22/23
题目5995：  72/97 + 77/86
题目5996：  74/77 + 64
题目5997：  48/97 + 100
题目5998：  99 ÷ 1/76
题目5999：  97/101 + 49/50
题目6000：  18/23 × 81
题目6001：  26/33 × 85/86
题目6002：  68 × 78
题目6003：  22 ÷ 11
题目6004：  2/15 × 3
题目6005：  16 × 74
题目6006：  19 × 63
题目6007：  30/91 × 6
题目6008：  1/45 - 17/101
题目6009：  98/101 × 29
题目6010：  57/59 - 86
题目6011：  46/59 + 100
题目6012：  78/89 - 43/71
题目6013：  31/78 × 30
题目6014：  77 ÷ 11/50
题目6015：  8/17 + 17/25
题目6016：  17/22 × 69
题目6017：  94/95 × 86
题目6018：  16 + 36
题目6019：  52 ÷ 2
题目6020：  15/92 - 12
题目6021：  21/23 × 92
题目6022：  5/61 + 42
题目6023：  55 - 79
题目6024：  82/99 + 88
题目6025：  46 + 71
题目6026：  69/98 × 50/67
题目6027：  78 ÷ 1/23
题目6028：  14 ÷ 7
题目6029：  3/17 + 1/2
题目6030：  73 × 90
题目6031：  23/94 + 70/93
题目6032：  52/97 - 1/50
题目6033：  21/32 × 52/79
题目6034：  17/39 × 81
题目6035：  2/5 × 97/99
题目6036：  74/95 + 56
题目6037：  14/71 + 58
题目6038：  19/22 × 78
题目6039：  98/101 + 43
题目6040：  19 ÷ 1
题目6041：  11/14 - 97/100
题目6042：  43/88 - 49/55
题目6043：  40/61 - 18/19
题目6044：  10/23 + 11/14
题目6045：  11/25 + 43/48
题目6046：  13/19 × 78
题目6047：  73/74 × 8
题目6048：  1/5 + 33
题目6049：  49 + 63
题目6050：  84 ÷ 4/15
题目6051：  38 × 96
题目6052：  15 × 31
题目6053：  33 ÷ 1/62
题目6054：  27/100 × 31
题目6055：  45 - 34/95
题目6056：  94 - 82
题目6057：  40 ÷ 2/31
题目6058：  7/8 × 34
题目6059：  58 - 2/7
题目6060：  16/25 + 63
题目6061：  69 - 13/33
题目6062：  37/71 × 59
题目6063：  5/9 × 100/101
题目6064：  79/91 + 84
题目6065：  99/101 + 66
题目6066：  18/79 - 70
题目6067：  84 ÷ 7
题目6068：  88 ÷ 11/18
题目6069：  64 ÷ 32
题目6070：  65 - 34/89
题目6071：  10 ÷ 5/88
题目6072：  43/84 × 11
题目6073：  45 ÷ 1/8
题目6074：  96 ÷ 2
题目6075：  91 ÷ 1/8
题目6076：  24/25 × 39
题目6077：  26 × 83
题目6078：  3/14 × 100
题目6079：  19/22 - 79
题目6080：  37 + 41
题目6081：  44/47 × 4
题目6082：  47/56 × 71
题目6083：  73/99 × 47/49
题目6084：  29/32 + 32/33
题目6085：  6 × 66
题目6086：  67 ÷ 67/71
题目6087：  17/19 × 28/29
题目6088：  69 - 9/37
题目6089：  5/11 - 27
题目6090：  11/26 - 61
题目6091：  95 ÷ 19/30
题目6092：  64 ÷ 16/73
题目6093：  21 - 87
题目6094：  57/61 - 86/89
题目6095：  62/91 × 27
题目6096：  20/21 × 67
题目6097：  11 × 92
题目6098：  29 + 90
题目6099：  31/61 - 71/88
题目6100：  65 - 41/92
题目6101：  37 ÷ 1/3
题目6102：  43/48 - 44/49
题目6103：  87 - 56/95
题目6104：  35 ÷ 1/18
题目6105：  43/53 - 85/87
题目6106：  49/99 × 9
题目6107：  35/43 × 16
题目6108：  99/101 ÷ 99/101
题目6109：  42/47 × 6
题目6110：  92/99 × 37
题目6111：  82/91 - 90
题目6112：  63 - 42
题目6113：  77 ÷ 1/5
题目6114：  78 × 87
题目6115：  22 + 85
题目6116：  57 ÷ 19/77
题目6117：  24 ÷ 8/29
题目6118：  16/21 × 65
题目6119：  1 - 93/100
题目6120：  16/29 + 45
题目6121：  16/21 × 4
题目6122：  2 ÷ 2/11
题目6123：  1/4 × 22
题目6124：  41/48 + 71
题目6125：  7/31 - 96
题目6126：  61 × 86
题目6127：  39/97 + 32
题目6128：  87/91 - 19/34
题目6129：  6/13 + 58
题目6130：  11/27 - 30
题目6131：  18 × 46
题目6132：  33/50 - 13/27
题目6133：  1/88 + 77
题目6134：  22/25 - 53
题目6135：  55 × 92
题目6136：  6/47 × 81
题目6137：  15 × 86
题目6138：  42 - 13/59
题目6139：  73/100 × 27/28
题目6140：  1 - 36
题目6141：  68 ÷ 17/73
题目6142：  100/101 - 97/101
题目6143：  35 ÷ 1/6
题目6144：  29/31 - 14
题目6145：  15/16 + 95
题目6146：  38/65 + 44/65
题目6147：  13 × 55
题目6148：  72 ÷ 1/4
题目6149：  64 - 47/57
题目6150：  73 - 69/88
题目6151：  81/97 - 17
题目6152：  71/87 - 87/97
题目6153：  73/85 × 99/100
题目6154：  56 ÷ 8/77
题目6155：  51/91 + 71
题目6156：  70 ÷ 35/99
题目6157：  81 - 81/91
题目6158：  59/74 × 64
题目6159：  9/43 × 2
题目6160：  95/98 + 13
题目6161：  5/8 × 60/61
题目6162：  48 × 63
题目6163：  4/13 × 11
题目6164：  59/70 × 25
题目6165：  12 - 30/47
题目6166：  92/93 × 88
题目6167：  67/92 + 43
题目6168：  15/47 + 57
题目6169：  15 - 16
题目6170：  24/25 + 74
题目6171：  6/43 - 51/76
题目6172：  50 × 56
题目6173：  14/15 × 39
题目6174：  23/26 - 96
题目6175：  55 ÷ 11
题目6176：  32/87 × 91
题目6177：  7/11 + 41
题目6178：  41/49 + 57
题目6179：  67/75 × 8
题目6180：  34 ÷ 1/4
题目6181：  7 × 96
题目6182：  92 - 97
题目6183：  22/25 + 94
题目6184：  13/25 - 41
题目6185：  3/7 × 14
题目6186：  5/6 - 13/23
题目6187：  11/52 × 74
题目6188：  4 ÷ 4/15
题目6189：  84 ÷ 4
题目6190：  58 ÷ 29
题目6191：  21/32 × 30
题目6192：  88 - 55
题目6193：  44 - 47
题目6194：  28 × 47
题目6195：  66/95 + 97/100
题目6196：  2/9 + 49
题目6197：  56 ÷ 7
题目6198：  11/16 × 28
题目6199：  96 ÷ 8
题目6200：  3/8 + 44/69
题目6201：  11/26 × 99
题目6202：  27 ÷ 1/33
题目6203：  13/43 + 85
题目6204：  18 ÷ 3/4
题目6205：  38/41 + 96
题目6206：  52 ÷ 13/60
题目6207：  5/49 - 52/55
题目6208：  63/88 × 65
题目6209：  90 ÷ 2/3
题目6210：  57 × 94
题目6211：  74 ÷ 1/37
题目6212：  31/94 + 97
题目6213：  79/82 × 66
题目6214：  10 × 49
题目6215：  43 - 6
题目6216：  1 ÷ 1
题目6217：  52 + 54
题目6218：  36 - 8/19
题目6219：  73 ÷ 1/22
题目6220：  6 - 7/20
题目6221：  86/93 × 63
题目6222：  100/101 ÷ 100/101
题目6223：  17/54 - 83/87
题目6224：  82/95 - 73
题目6225：  56/81 + 79/98
题目6226：  19/32 + 59/84
题目6227：  89 ÷ 1/2
题目6228：  86/87 + 66
题目6229：  18 ÷ 6/25
题目6230：  20 + 58
题目6231：  14 ÷ 7/72
题目6232：  47 × 83
题目6233：  21 - 77
题目6234：  100 ÷ 2/75
题目6235：  38 - 23
题目6236：  9/49 + 9/14
题目6237：  69/94 - 6
题目6238：  59/99 + 88
题目6239：  65/72 × 79
题目6240：  90 - 67
题目6241：  52 - 76/91
题目6242：  32 + 90
题目6243：  28 ÷ 2/3
题目6244：  74/81 + 98
题目6245：  85/89 + 26
题目6246：  25/29 - 78/101
题目6247：  21/37 - 94
题目6248：  85/87 - 2/7
题目6249：  63/65 × 68
题目6250：  29/51 × 86
题目6251：  11/42 × 47/67
题目6252：  28 - 93
题目6253：  54/79 × 13/14
题目6254：  1/13 + 80
题目6255：  99/100 - 71/94
题目6256：  65 - 65/94
题目6257：  13/90 × 92
题目6258：  84 ÷ 1/6
题目6259：  2/57 × 58
题目6260：  42 × 91
题目6261：  16/45 + 14/33
题目6262：  60 ÷ 15/32
题目6263：  56 ÷ 7/10
题目6264：  29 - 80
题目6265：  13/42 - 49/50
题目6266：  43/98 + 29
题目6267：  5/13 - 29
题目6268：  6 ÷ 3/5
题目6269：  11/13 + 80
题目6270：  16/81 × 40/67
题目6271：  54 - 21
题目6272：  9/14 + 92
题目6273：  23/42 - 46/49
题目6274：  29/95 × 18/47
题目6275：  57 ÷ 3/17
题目6276：  48/97 - 81
题目6277：  1/8 - 94/101
题目6278：  15/28 + 16
题目6279：  37/67 × 71/101
题目6280：  34/65 × 23
题目6281：  8/21 × 46
题目6282：  16/71 - 13/16
题目6283：  36 ÷ 18
题目6284：  15 × 87
题目6285：  72 - 92
题目6286：  75/89 × 55
题目6287：  3/73 × 44
题目6288：  75 ÷ 3/5
题目6289：  15 × 49
题目6290：  91 ÷ 7/19
题目6291：  22 × 95
题目6292：  46/87 - 78/79
题目6293：  92 - 13/14
题目6294：  4 × 31
题目6295：  8/13 × 95/98
题目6296：  5 × 82
题目6297：  31/33 × 93/95
题目6298：  20 ÷ 5
题目6299：  2 × 28
题目6300：  1 × 97
题目6301：  1/26 + 22/37
题目6302：  49 - 11/23
题目6303：  81/95 + 1
题目6304：  71/93 + 21/23
题目6305：  51/58 × 64
题目6306：  20 × 47
题目6307：  85 - 9/58
题目6308：  63 - 48/49
题目6309：  53 + 80
题目6310：  79/80 - 68
题目6311：  1/2 × 1
题目6312：  32/99 - 19/101
题目6313：  28/39 - 20
题目6314：  4 × 58
题目6315：  27/92 + 83/101
题目6316：  32/77 + 46
题目6317：  29 × 68
题目6318：  5 - 76/101
题目6319：  30/53 - 30/49
题目6320：  72/73 - 64
题目6321：  95 ÷ 1/71
题目6322：  49 × 81
题目6323：  19/24 + 79/94
题目6324：  26 ÷ 26/35
题目6325：  35/53 - 76/77
题目6326：  91 ÷ 1/44
题目6327：  28/39 + 75
题目6328：  79/82 + 7
题目6329：  49/95 × 22
题目6330：  7/25 × 44
题目6331：  40/47 - 77/100
题目6332：  73 ÷ 1/25
题目6333：  23/78 × 62
题目6334：  11 × 47
题目6335：  94 ÷ 1/64
题目6336：  58 - 99
题目6337：  93 - 7
题目6338：  37/83 + 24
题目6339：  13 × 18
题目6340：  67/89 - 87
题目6341：  34 - 52
题目6342：  28 - 64
题目6343：  7/11 × 73/100
题目6344：  37 ÷ 1/7
题目6345：  72 ÷ 8
题目6346：  70/89 × 84
题目6347：  73/75 + 44
题目6348：  66/67 ÷ 66/67
题目6349：  33/67 × 58
题目6350：  1/2 × 58
题目6351：  32/45 + 38
题目6352：  18 × 60
题目6353：  43/63 + 83/97
题目6354：  18 - 81/83
题目6355：  1/7 + 34
题目6356：  35/93 + 18/31
题目6357：  42 - 2/7
题目6358：  73 × 97
题目6359：  28 + 61
题目6360：  25/46 - 65
题目6361：  64 + 94
题目6362：  76/99 - 31
题目6363：  93 ÷ 1/3
题目6364：  33 × 52
题目6365：  50 - 33
题目6366：  7 × 51
题目6367：  10/23 + 92
题目6368：  23/43 + 57
题目6369：  89 ÷ 1/65
题目6370：  10 ÷ 1/26
题目6371：  80 ÷ 4/7
题目6372：  52 ÷ 2/5
题目6373：  16 - 13/83
题目6374：  14 - 38/45
题目6375：  3/5 - 68
题目6376：  1/100 × 9/91
题目6377：  42 ÷ 2/33
题目6378：  81/97 - 47/64
题目6379：  4/33 + 52/101
题目6380：  77/96 + 57
题目6381：  19/45 × 90
题目6382：  32 - 6
题目6383：  28/65 + 98/99
题目6384：  42 + 91
题目6385：  62 - 38/85
题目6386：  16/41 × 17
题目6387：  1/15 + 13/33
题目6388：  54/101 - 1/2
题目6389：  16 + 32
题目6390：  1/2 + 20
题目6391：  24/25 - 64
题目6392：  16/17 × 95
题目6393：  42/59 × 9
题目6394：  63 ÷ 3/17
题目6395：  21/29 × 88/93
题目6396：  16 + 64
题目6397：  13/71 - 91/101
题目6398：  64/93 - 63/92
题目6399：  41/42 - 68
题目6400：  84/85 × 13
题目6401：  41/81 + 21
题目6402：  81/92 - 57
题目6403：  29 - 48/101
题目6404：  93 ÷ 31/36
题目6405：  27/31 ÷ 27/31
题目6406：  98/101 + 94
